State|County|Place Name|Zip Code|Latitude|Longitude
Alabama|Autauga|Autaugaville|36003|32.4625|-86.7149
Alabama|Autauga|Billingsley|36006|32.6596|-86.7178
Alabama|Autauga|Booth|36008|32.5016|-86.5727
Alabama|Autauga|Jones|36749|32.5104|-86.8138
Alabama|Autauga|Marbury|36051|32.6841|-86.4946
Alabama|Autauga|Prattville|36066|32.4787|-86.43
Alabama|Autauga|Prattville|36067|32.4715|-86.4831
Alabama|Autauga|Prattville|36068|32.464|-86.4597
Alabama|Baldwin|Bay Minette|36507|30.8635|-87.7644
Alabama|Baldwin|Bon Secour|36511|30.3128|-87.7431
Alabama|Baldwin|Daphne|36526|30.6197|-87.8895
Alabama|Baldwin|Elberta|36530|30.3942|-87.589
Alabama|Baldwin|Fairhope|36532|30.5012|-87.8835
Alabama|Baldwin|Fairhope|36533|30.4841|-87.8606
Alabama|Baldwin|Foley|36535|30.4007|-87.6857
Alabama|Baldwin|Foley|36536|30.4222|-87.7064
Alabama|Baldwin|Gulf Shores|36542|30.2717|-87.7589
Alabama|Baldwin|Gulf Shores|36547|30.246|-87.7008
Alabama|Baldwin|Lillian|36549|30.3972|-87.4745
Alabama|Baldwin|Little River|36550|31.2246|-87.7548
Alabama|Baldwin|Loxley|36551|30.618|-87.7562
Alabama|Baldwin|Magnolia Springs|36555|30.3996|-87.7761
Alabama|Baldwin|Montrose|36559|30.5623|-87.9005
Alabama|Baldwin|Orange Beach|36561|30.281|-87.5815
Alabama|Baldwin|Perdido|36562|31.0403|-87.6667
Alabama|Baldwin|Point Clear|36564|30.4741|-87.9192
Alabama|Baldwin|Robertsdale|36567|30.5616|-87.6373
Alabama|Baldwin|Seminole|36574|30.5048|-87.4659
Alabama|Baldwin|Silverhill|36576|30.5222|-87.7457
Alabama|Baldwin|Spanish Fort|36527|30.6959|-87.8867
Alabama|Baldwin|Spanish Fort|36577|30.6749|-87.9153
Alabama|Baldwin|Stapleton|36578|30.7476|-87.7787
Alabama|Baldwin|Stockton|36579|31.0129|-87.8633
Alabama|Baldwin|Summerdale|36580|30.4752|-87.6992
Alabama|Barbour|Clayton|36016|31.8874|-85.4509
Alabama|Barbour|Clio|36017|31.6852|-85.5904
Alabama|Barbour|Eufaula|36027|31.9051|-85.1656
Alabama|Barbour|Eufaula|36072|31.8913|-85.1455
Alabama|Barbour|Louisville|36048|31.7943|-85.5581
Alabama|Bibb|Brent|35034|32.9357|-87.2114
Alabama|Bibb|Brierfield|35035|33.0427|-86.9517
Alabama|Bibb|Centreville|35042|32.9503|-87.1192
Alabama|Bibb|Green Pond|35074|33.2027|-87.118
Alabama|Bibb|Lawley|36793|32.8646|-86.9567
Alabama|Bibb|Randolph|36792|32.8888|-86.907
Alabama|Bibb|West Blocton|35184|33.1424|-87.1369
Alabama|Bibb|Woodstock|35188|33.2068|-87.15
Alabama|Blount|Allgood|35013|33.9222|-86.4493
Alabama|Blount|Blountsville|35031|34.0929|-86.5686
Alabama|Blount|Cleveland|35049|33.9778|-86.5598
Alabama|Blount|Hayden|35079|33.9534|-86.7455
Alabama|Blount|Locust Fork|35097|33.905|-86.6261
Alabama|Blount|Oneonta|35121|33.9259|-86.4741
Alabama|Blount|Remlap|35133|33.8168|-86.6008
Alabama|Bullock|Fitzpatrick|36029|32.2165|-85.8888
Alabama|Bullock|Midway|36053|32.0955|-85.5315
Alabama|Bullock|Perote|36061|32.0928|-85.7046
Alabama|Bullock|Union Springs|36089|32.1443|-85.7149
Alabama|Butler|Chapman|36015|31.6427|-86.7343
Alabama|Butler|Forest Home|36030|31.8501|-86.8372
Alabama|Butler|Georgiana|36033|31.6287|-86.734
Alabama|Butler|Greenville|36037|31.81|-86.6229
Alabama|Butler|Mc Kenzie|36456|31.545|-86.7356
Alabama|Calhoun|Alexandria|36250|33.7808|-85.8924
Alabama|Calhoun|Anniston|36201|33.6539|-85.8382
Alabama|Calhoun|Anniston|36202|33.7622|-85.8378
Alabama|Calhoun|Anniston|36204|33.7622|-85.8378
Alabama|Calhoun|Anniston|36205|33.7358|-85.7933
Alabama|Calhoun|Anniston|36206|33.7191|-85.8389
Alabama|Calhoun|Anniston|36207|33.6803|-85.7137
Alabama|Calhoun|Bynum|36253|33.7622|-85.8378
Alabama|Calhoun|Choccolocco|36254|33.6573|-85.6991
Alabama|Calhoun|De Armanville|36257|33.7622|-85.8378
Alabama|Calhoun|Eastaboga|36260|33.6031|-85.9608
Alabama|Calhoun|Jacksonville|36265|33.831|-85.7752
Alabama|Calhoun|Ohatchee|36271|33.7788|-86.0254
Alabama|Calhoun|Oxford|36203|33.5815|-85.8328
Alabama|Calhoun|Piedmont|36272|33.8389|-85.646
Alabama|Calhoun|Weaver|36277|33.7563|-85.8107
Alabama|Calhoun|Wellington|36279|33.8226|-85.8927
Alabama|Chambers|Cusseta|36852|32.7831|-85.2756
Alabama|Chambers|Five Points|36855|33.0424|-85.3243
Alabama|Chambers|Lafayette|36862|32.9252|-85.4426
Alabama|Chambers|Lanett|36863|32.8616|-85.2161
Alabama|Chambers|Valley|36854|32.8113|-85.1749
Alabama|Cherokee|Cedar Bluff|35959|34.2417|-85.6026
Alabama|Cherokee|Centre|35960|34.1116|-85.6092
Alabama|Cherokee|Gaylesville|35973|34.3573|-85.5589
Alabama|Cherokee|Leesburg|35983|34.1911|-85.7705
Alabama|Cherokee|Spring Garden|36275|33.9778|-85.5521
Alabama|Chilton|Clanton|35045|32.8355|-86.6425
Alabama|Chilton|Clanton|35046|32.9229|-86.545
Alabama|Chilton|Jemison|35085|32.9805|-86.7181
Alabama|Chilton|Maplesville|36750|32.8045|-86.8717
Alabama|Chilton|Stanton|36790|32.7332|-86.8963
Alabama|Chilton|Thorsby|35171|32.9157|-86.7158
Alabama|Chilton|Verbena|36091|32.7499|-86.5114
Alabama|Choctaw|Butler|36904|32.0829|-88.2064
Alabama|Choctaw|Gilbertown|36908|31.8666|-88.3265
Alabama|Choctaw|Jachin|36910|32.0042|-88.2007
Alabama|Choctaw|Lisman|36912|32.2177|-88.3234
Alabama|Choctaw|Melvin|36913|32.0042|-88.2007
Alabama|Choctaw|Needham|36915|31.9879|-88.3367
Alabama|Choctaw|Pennington|36916|32.2094|-88.049
Alabama|Choctaw|Silas|36919|31.7668|-88.3091
Alabama|Choctaw|Toxey|36921|31.9155|-88.151
Alabama|Choctaw|Ward|36922|32.3038|-88.1476
Alabama|Clarke|Campbell|36727|31.9213|-88.008
Alabama|Clarke|Coffeeville|36524|31.7843|-88.0715
